epoch,lr,train_total_loss,train_cls_loss,train_pos_loss,train_reg_loss,train_anchor_center_loss,train_depth_mae,train_depth_rmse,train_adjacent_similarity,train_distant_similarity,train_rot_consistency,val_total_loss,val_cls_loss,val_pos_loss,val_reg_loss,val_anchor_center_loss,val_depth_mae,val_depth_rmse,val_adjacent_similarity,val_distant_similarity,val_rot_consistency
1,0.0,3.358653037548065,0.7226640141010284,0.9772878515720368,6.475328574180603,3.3080237460136415,6.9753286027908326,7.283183536529541,0.9999768953025341,0.995919745862484,0.9914833563566208,5.191123571395874,0.7027607327699661,0.9750950154662132,11.078291320800782,3.2672626328468324,11.575779271125793,12.601431198120117,0.9999737319350243,0.9948201353847981,0.9962488186359405
2,0.0,3.128912491798401,0.6309581136703492,0.9794467568397522,5.955869588851929,3.2653894591331483,6.455869588851929,6.786748785972595,0.9999834609031677,0.9970119439065457,0.9957274597883224,5.895059762001037,0.803168020248413,0.9782567900419236,12.572639441490173,4.118932195901871,13.071068449020386,14.091696248054504,0.9999808333814144,0.9964345009624958,0.9954100656509399
3,0.0,2.8110413765907287,0.6081743824481964,0.9820122385025024,5.169397096633912,3.270439395904541,5.669391283988952,6.044334621429443,0.9999904660880565,0.9982802993059159,0.9976139461994171,5.9392144703865055,0.7174700656533242,0.9803936418890953,12.93807297706604,3.2637305188179018,13.436859874725341,14.423894805908203,0.9999858857691288,0.9974524612724781,0.9975837737321853
4,0.0,2.419774866104126,0.6010076081752778,0.9833091467618942,4.194334447383881,3.2684678483009337,4.694312601089478,5.144134502410889,0.9999940639734268,0.9990197013318539,0.9985000973939896,6.229579699039459,0.694945776462555,0.9819057101011276,13.672987775802612,3.2682359266281127,14.17179871082306,15.19830719947815,0.9999900110065937,0.9983593244850636,0.9985007679462433
5,0.0,1.7768378818035127,0.5984212720394134,0.9841143959760665,2.5864561450481416,3.2733680033683776,3.0851252985000612,3.7504456853866577,0.9999965973198414,0.9994819210469723,0.9991109204292298,6.404822220802307,0.6711718359589577,0.9832267865538598,14.12217674255371,3.2674901342391967,14.619907383918763,15.799117465019226,0.9999935153126717,0.9989843189716339,0.9988992834091186
6,0.0,1.199310108423233,0.5773860520124435,0.9845404326915741,1.1520891106128692,3.276350939273834,1.507813068628311,2.4763761448860167,0.9999977153539658,0.9996608144044876,0.9993131071329117,6.409064462184906,0.5884917750954628,0.9834216877818107,14.174703879356384,3.2645794689655303,14.671196284294128,15.988057250976562,0.9999946540594101,0.9990639227628708,0.9990039953589439
7,0.0,1.1360338973999022,0.5485263383388519,0.983969589471817,1.0103973418474197,3.2697877740859984,1.3644428873062133,2.2580510449409483,0.9999968503415585,0.9992854784429074,0.9992274570465088,6.398951003551483,0.5855541330575943,0.9796365806460381,14.15208749294281,3.271140949726105,14.648614678382874,15.970600929260254,0.9999894678592682,0.9971233132481575,0.9985364273190498
8,0.0,1.1260154020786286,0.54943572640419,0.9386507350206376,1.0185677051544189,3.271059217453003,1.3670044720172883,2.2758957839012144,0.9999576766788959,0.9736628796160222,0.9956302219629287,6.57884946346283,0.7608917388319969,0.8666474205255509,14.140570511817932,5.104485701322556,14.637024083137511,15.972252259254455,0.9998777104914188,0.9332872070372105,0.9904925277829171
9,0.0,1.0745903325080872,0.5632201159000396,0.7413997012376785,1.0316285675764083,3.268749556541443,1.3680859994888306,2.3037749576568602,0.9997242924571037,0.8455365526676178,0.9800772845745087,6.652359230518341,0.9246704187989235,0.7602641049027443,14.157003755569457,5.765443029403687,14.653603086471557,15.957415184974671,0.9997258515655995,0.8608131636679173,0.9814661434292793
10,0.0,1.0245960992574692,0.5679319012165069,0.5866773825883865,1.020975050330162,3.2661646366119386,1.3548761224746704,2.291745183467865,0.9993913248181343,0.7141269920766353,0.9653419774770736,6.628089060783386,0.9300124946236611,0.7043813905119896,14.146935806274413,5.719977028369904,14.643751821517945,15.946825885772705,0.999647120386362,0.81830686211586,0.9782782712578774
11,0.0,1.0020936995744705,0.5682083904743195,0.5177070248126984,1.017301938533783,3.2621911692619325,1.354707498550415,2.2801862716674806,0.9992023061215878,0.6531684252619744,0.9543543446063996,6.6439896368980405,0.924825237095356,0.6954763594269753,14.19522466659546,5.722917244434357,14.691911969184876,15.986235828399659,0.9996436442434787,0.8107776056230068,0.978538597524166
12,0.0,1.0022783750295639,0.5710540306568146,0.4934454482793808,1.0299328756332398,3.2806076312065127,1.372288566827774,2.294899966716766,0.9991226695477963,0.6258250470459461,0.9500587749481201,6.606852445602417,0.9041318947076797,0.6863188832998276,14.16950864315033,5.5232683324813845,14.666328406333923,15.94676802635193,0.9995880977809429,0.8063060961663723,0.9758684575557709
13,0.0,0.9887106996774674,0.568717104792595,0.47022183030843734,1.0177255284786224,3.268104975223541,1.3584190893173218,2.2810960149765016,0.9990309463441371,0.6036644784361124,0.9458204448223114,6.603907370567322,0.9135102161765098,0.6752001735568046,14.162927494049072,5.534741578102111,14.659747166633606,15.939620366096497,0.9995872855186463,0.7962634414434433,0.9770302271842957
14,0.0,0.9835544472932816,0.5690535545349121,0.4460100629925728,1.0214860445261003,3.2734627747535705,1.3648688220977783,2.281804745197296,0.9989469762146473,0.5785076999664307,0.9451969349384308,6.576309604644775,0.906473770737648,0.6571057033538819,14.130443019866943,5.457058172225953,14.627361803054809,15.913211359977723,0.9995841924846173,0.7820575468242168,0.971984855234623
15,0.0,0.9775825566053391,0.5675240117311477,0.428446931540966,1.0208437824249268,3.2720614194869997,1.3648573648929596,2.2842610621452333,0.9988780850172043,0.5644194437563419,0.9410384541749954,6.578976309299469,0.9105748733878136,0.6538027691841125,14.13850875377655,5.453169002532959,14.63537875175476,15.91489170074463,0.999578665047884,0.780596360117197,0.9719322061538697
16,0.0,0.9733461421728135,0.5688775777816772,0.41076767683029175,1.0220868611335754,3.2750555443763734,1.366354318857193,2.282844777107239,0.9989013132452965,0.5433339549601078,0.934510806798935,6.573711824417114,0.9097615674138069,0.6494258427619934,14.139745597839356,5.410334064960479,14.636770062446594,15.908118376731872,0.9995179039239883,0.7771715834736824,0.9713655808568
17,0.0,0.9634874588251114,0.5648148316144943,0.39582101166248324,1.0132449221611024,3.2648019933700563,1.357937467098236,2.2711817598342896,0.9988072137534618,0.5272563587129117,0.9343382102251053,6.568408944606781,0.9089998131990433,0.6406209921836853,14.129969692230224,5.4243471765518185,14.626913046836853,15.901937613487243,0.9995044513046741,0.7692305997014046,0.9710683655738831
18,0.0,0.9668291801214218,0.569063258767128,0.3816509634256363,1.025961042046547,3.2813680005073547,1.3733246660232543,2.2823816323280335,0.9986709137260914,0.5112706457078456,0.9326903575658798,6.579818575382233,0.9083550503849983,0.6309120839834214,14.165537042617798,5.426589980125427,14.662556438446044,15.93080261707306,0.9994815874099732,0.7643687826395035,0.968510322868824
19,0.0,0.9567153602838516,0.5648430317640305,0.3681545051932335,1.0160030674934388,3.2689915251731874,1.3626652193069457,2.272540349960327,0.9986599047482013,0.49794571593403814,0.9314287954568863,6.584874951839447,0.924656708240509,0.6288126373291015,14.134102420806885,5.576587610244751,14.630968222618103,15.918595042228699,0.9994581428170204,0.7615684366226196,0.9695901891589165
20,0.0,0.9561928093433381,0.5650241714715958,0.3608176103234291,1.0195722788572312,3.2711375546455383,1.3655187380313873,2.281341938972473,0.9986731217801571,0.4922800122201443,0.9232853841781616,6.585079343318939,0.9212339103221894,0.6210670146346092,14.145189380645752,5.56436578989029,14.642035946846008,15.920936436653138,0.9994295807182789,0.7559734061360359,0.967040256857872
21,0.0,0.9554550874233246,0.566077316403389,0.35237102121114733,1.0220332723855972,3.277149851322174,1.369512563943863,2.2803435492515565,0.9985221552848816,0.48275225549936296,0.9225183123350144,6.599565262794495,0.9279252818226814,0.6206568944454193,14.1742271900177,5.580921547412872,14.671238985061645,15.937649812698364,0.9994220040738583,0.7561972332000733,0.9650690931081772
22,0.0,0.9469889962673187,0.5627991968393325,0.34472105324268343,1.0116452419757842,3.263547253608704,1.3583509838581085,2.2678858995437623,0.998511936813593,0.47148770578205584,0.9264885902404785,6.587263333797455,0.9237116983532906,0.6148561331629753,14.154882168769836,5.56111154794693,14.651960530281066,15.923751301765442,0.9993731670081616,0.7521145072579384,0.9664692592620849
23,0.0,0.9492072367668152,0.5655676746368408,0.3406693199276924,1.0169079357385635,3.271297044754028,1.3642030143737793,2.2712214159965516,0.9984769758582115,0.46893366433680056,0.9259843999147415,6.591632213592529,0.9228207221627236,0.6070092123746872,14.167490334510804,5.579690475463867,14.664435868263245,15.939345231056214,0.9993817164003849,0.7458330178260804,0.9651752656698227
24,0.0,0.946364569067955,0.5639359050989151,0.33611697852611544,1.0145988899469376,3.269027192592621,1.36238703250885,2.2679303455352784,0.9984184971451759,0.45981705814599994,0.9144362163543701,6.579957959651947,0.9222642120718956,0.6056872954964638,14.139303154945374,5.58077579498291,14.636214194297791,15.91632894039154,0.9993957123160362,0.7426151733100415,0.9639798039197922
25,0.0,0.9437840634584427,0.5618624436855316,0.33599543482065203,1.01065980553627,3.2634900856018065,1.358832379579544,2.262301113605499,0.9983887137472629,0.4659280959516764,0.922453464269638,6.579249587059021,0.9252269959449768,0.6071678073704243,14.130781593322753,5.597410950660706,14.627666840553283,15.911862196922302,0.9993954032659531,0.7442390948534012,0.9644796445965766
26,0.0,0.9438049304485321,0.5621033197641373,0.3322845667600632,1.0124976825714112,3.2669980335235596,1.3600410783290864,2.2664586019515993,0.9984678164124489,0.45823188617825505,0.9169616287946701,6.578971588611603,0.9188066777586937,0.6043789657950401,14.146129550933837,5.554446225166321,14.642945165634154,15.91903175354004,0.9993985499441623,0.7424080134928226,0.9655921381711959
27,0.0,0.9446555894613266,0.5628366035223007,0.3314525583386421,1.0145014655590057,3.2685189390182496,1.3624378037452698,2.2669773435592653,0.9984190919995308,0.45647586673498153,0.9187893849611283,6.591194436550141,0.9227523052692413,0.6064326286315918,14.161922526359557,5.599450759887695,14.658946828842163,15.926561241149903,0.9993731513619423,0.7461167545616627,0.9658679181337356
